model,task,policy_type,latency_ms_mean,latency_ms_std,latency_ms_p50,latency_ms_p95,latency_ms_cv,ttft_ms_mean,ttft_ms_std,ttft_ms_p50,ttft_ms_p95,ttft_ms_cv,tbt_mean_ms_mean,tbt_mean_ms_std,tbt_mean_ms_p50,tbt_mean_ms_p95,tbt_mean_ms_cv,energy_Wh_mean,energy_Wh_std,energy_Wh_p50,energy_Wh_p95,energy_Wh_cv,carbon_g_mean,carbon_g_std,carbon_g_p50,carbon_g_p95,carbon_g_cv,stability_score,policy_effectiveness
Midm-2.0-Mini-Instruct,QA,saip,840.3672043983223,137.86058154489163,813.4627621891063,973.9089387158098,0.1640480266523438,126.05508065974834,20.679087231733746,122.01941432836594,146.08634080737147,0.16404802665234383,35.08866275313118,4.079052948045955,35.25984727971887,41.51594566326355,0.11624988323848152,0.004085855995560993,0.0009931788156013338,0.004002260132825309,0.0055888114541890665,0.24307729314991902,0.0018386351980024473,0.00044693046702060015,0.001801017059771389,0.0025149651543850803,0.24307729314991894,0.7106687556020423,0.43521312816308805
Midm-2.0-Mini-Instruct,Summarization,baseline,2022.153668026425,198.95932484799815,2037.5747541596857,2303.9587752533666,0.09838981477712216,303.32305020396365,29.84389872719972,305.6362131239528,345.593816288005,0.09838981477712219,35.07817587392778,3.4513352269550697,35.345684510933324,39.96663181561963,0.09838981477712215,0.009905632222924052,0.002018246842636157,0.010058059786917106,0.012769649815479626,0.2037474032162673,0.004457534500315824,0.0009082110791862707,0.004526126904112698,0.005746342416965831,0.20374740321626728,0.7679682188494796,
Midm-2.0-Mini-Instruct,Summarization,saip,854.227521892066,188.32995610118485,826.8105405004435,1030.904981767892,0.22046814376109608,128.1341282838099,28.249493415177724,124.0215810750665,154.63574726518377,0.22046814376109605,36.00902183415794,5.812243326712486,36.98889260133563,44.181230930545574,0.16141075293522766,0.004176274402357089,0.0011366974976498231,0.004023641097624172,0.006064298316146451,0.2721797918758095,0.0018793234810606904,0.0005115138739424204,0.0018106384939308774,0.0027289342422659032,0.27217979187580943,0.6699503453728389,0.40344463722180485
opt-2.7b,NLU,baseline,1315.156922413207,134.92603965336755,1298.494579651459,1561.0028791659704,0.10259311064248451,197.27353836198108,20.238905948005133,194.77418694771882,234.15043187489553,0.10259311064248448,22.81394661329033,2.3405537490890294,22.524905973545714,27.07862137328724,0.1025931106424845,0.005771648661328273,0.0012317004355066475,0.005817542907769016,0.0076560296096690765,0.21340530371493316,0.002597241897597723,0.0005542651959779915,0.0026178943084960576,0.0034452133243510845,0.21340530371493321,0.7598793350281391,
opt-2.7b,NLU,saip,967.8247282058493,120.89550294531625,947.6231679139069,1214.6544958275415,0.12491466628408224,145.17370923087736,18.13432544179744,142.14347518708604,182.1981743741312,0.12491466628408228,39.3654247559198,5.308188891532295,39.97234042643409,45.794505630820815,0.13484393790858426,0.004220544843186998,0.0008400744349610459,0.004233939945004437,0.0055267523711393166,0.19904407278532618,0.0018992451794341495,0.0003780334957324707,0.0019052729752519963,0.0024870385670126924,0.19904407278532615,0.7553105474441639,0.4013972923762885
opt-2.7b,QA,baseline,1393.4257405884327,140.45168798693692,1420.5508489925696,1605.1264326582595,0.10079596199193598,209.0138610882649,21.067753198040535,213.08262734888547,240.76896489873894,0.10079596199193598,24.17167101020751,2.4364068324264565,24.64220860497315,27.844029954275932,0.10079596199193595,0.005888732996651006,0.00120093659484438,0.00575222182413896,0.00801756873549347,0.20393802801508698,0.0026499298484929518,0.0005404214676799709,0.002588499820862532,0.003607905930972062,0.20393802801508704,0.7664397552750328,
opt-2.7b,QA,saip,708.1488527986726,227.53858197475714,651.8527335844162,1136.891935957423,0.32131462343757633,106.22232791980085,34.13078729621357,97.77791003766245,170.53379039361343,0.32131462343757644,26.785774779657633,3.2766371538403347,27.06561019081326,31.680063782941488,0.12232751080729484,0.003008065242889764,0.0011233882052526295,0.002854868021480856,0.004949776090502889,0.3734587233132689,0.001353629359300394,0.0005055246923636832,0.0012846906096663853,0.0022273992407263,0.37345872331326885,0.5900494021322449,0.3541695326163499
opt-2.7b,Summarization,baseline,1682.2374580164158,164.84475201521624,1701.6558707212425,1965.6862541625787,0.09799136930977057,252.33561870246234,24.72671280228243,255.24838060818635,294.8529381243868,0.09799136930977055,29.18167019008068,2.859551820672118,29.5185202063889,34.09863910282024,0.09799136930977055,0.00728572674108185,0.0014632224585592424,0.007298040555137919,0.009735702271411894,0.2008341117583515,0.0032785770334868318,0.000658450106351659,0.0032841182498120633,0.004381066022135354,0.20083411175835153,0.7699263793143516,
opt-2.7b,Summarization,saip,1139.6089809147486,137.98111054442933,1130.1308931677233,1366.4462766486265,0.1210775913977738,170.94134713721226,20.697166581664398,169.5196339751585,204.96694149729396,0.12107759139777381,44.131106026853814,8.144930614830868,45.499376740958525,55.31389967395895,0.18456212291336344,0.004879195979771886,0.0010563487168106613,0.004768627410024293,0.006685738542144976,0.21650057123961805,0.0021956381908973493,0.0004753569225647975,0.002145882334510932,0.003008582343965239,0.216500571239618,0.7476198609793641,0.37693605306884237
Qwen2.5-0.5B-Instruct,NLU,baseline,584.1581660764032,51.520810937997176,579.5557748075662,665.7106910952257,0.08819668016291785,87.62372491146049,7.728121640699576,86.93336622113495,99.85660366428385,0.08819668016291783,10.133355942141689,0.8937283530060733,10.053518542580232,11.548042600631465,0.08819668016291782,0.0014542589063885048,0.0002980400570700383,0.001432115979518833,0.0019137771340847786,0.20494291337034937,0.0006544165078748269,0.0001341180256815172,0.000644452190783475,0.0008611997103381504,0.20494291337034937,0.773311717467163,
Qwen2.5-0.5B-Instruct,NLU,saip,590.069105027036,63.57686090189854,584.5981275400757,686.9179182100384,0.10774477151957575,88.5103657540554,9.53652913528478,87.68971913101136,103.03768773150576,0.10774477151957575,8.551984457411374,0.9669042459562779,8.48998772407974,9.913160423551604,0.11306197418522357,0.0015249763269981828,0.00027718341270938985,0.0015394293625576485,0.002012138857794173,0.18176243644057574,0.0006862393471491823,0.00012473253571922542,0.0006927432131509418,0.0009054624860073781,0.18176243644057571,0.77549004288381,0.5351386760635617
Qwen2.5-0.5B-Instruct,QA,baseline,610.5611625403544,63.98198327417871,608.7623333768051,709.6217204246004,0.10479209487870085,91.58417438105315,9.597297491126806,91.31435000652075,106.44325806369005,0.10479209487870086,10.591367105291862,1.109891546592896,10.560162925924171,12.309764537977763,0.10479209487870085,0.0015554612458879532,0.00031168864640544833,0.0015611328325407991,0.002088273721250752,0.20038342146384833,0.000699957560649579,0.00014025989088245177,0.0007025097746433595,0.0009397231745628385,0.20038342146384833,0.7661804772451352,
Qwen2.5-0.5B-Instruct,QA,saip,612.1634428776737,59.090413720222834,614.9016224486476,714.7580668292318,0.0965271847048708,91.82451643165103,8.863562058033427,92.23524336729713,107.21371002438478,0.09652718470487084,8.873905936117756,0.9277113540747733,8.8587521878195,10.503861282259095,0.10454374440672036,0.0015575582762484867,0.00030789628529133563,0.0015528445051322258,0.002101924473969307,0.19767882202965167,0.0007009012243118189,0.00013855332838110107,0.0006987800273095016,0.0009458660132861883,0.19767882202965176,0.7726745161098049,0.5318360134335703
Qwen2.5-0.5B-Instruct,Summarization,baseline,699.6528058332183,69.54833656163143,705.7222501374829,795.761681561286,0.09940407010703851,104.94792087498274,10.432250484244715,105.85833752062244,119.36425223419289,0.09940407010703851,12.136834386902764,1.2064507362731984,12.242120665650214,13.804029169940675,0.09940407010703853,0.0017931284133534389,0.0003808379798976859,0.0017643869444224026,0.0023688953553060678,0.21238745483122293,0.0008069077860090477,0.00017137709095395868,0.0007939741249900812,0.0010660029098877304,0.21238745483122287,0.7623162529938317,
Qwen2.5-0.5B-Instruct,Summarization,saip,704.889809307949,62.93560106521797,707.0158790836101,800.3779115299219,0.08928431115638807,105.73347139619236,9.440340159782695,106.05238186254152,120.05668672948828,0.08928431115638806,10.215758756318394,0.9718547437695075,10.215761714142873,11.607387840186286,0.09513289878428466,0.001757358536644433,0.00038364208726694607,0.0017551197751159275,0.00240902802890449,0.21830609933445158,0.0007908113414899949,0.00017263893927012576,0.0007898038988021674,0.0010840626130070206,0.2183060993344516,0.7647654739412035,0.5099118154820437
